comment,likes_count,is_reply
"Menurut sy jawaban Bpk Menkeu bukanlah sombong melainkan rasa optimis utk mengatasi keadaan, jadi kita Doakan saja semoga Beliau diberi kemampuan utk mengatasi keadaan ekonomi saat ini shg rakyat sejahtera tanpa menaikkan pajak yg menyengsarakan rakyat menengah kebawah/pas2an, Bismillahirohmanirohim…Selamat Bertugas ya Pak …sehat dan sukses selalu 🇮🇩",1,True
"Pak Mentri brcandanya bikin kita juga ikutan senang dan semangat bukannya sombong bro,,,dia orangnya memang nyantai cool dan kelihatan cerdas ini pak Mentri kita",0,True
"Dia kan di tanya, dul",0,True
Smoga sj msmpu....,0,True
"@Cherrisekiss menurut sy Beliau Optimis dan itu Bagus, kita Doakan Beliau berhasil mengatasi keadaan ekonomi saat ini yg melambat menjadi cepat maju/meningkat, rakyat tidak terbebani pajak, hidup aman, makmur, sejahtera terjangkau semua kebutuhan hidup 🇮🇩",0,True
"Kawal aja, ingat laporan hasil kerja tahun pertama untuk memastikan pastas kah bapak duduk disitu",0,True
waow PD optimis.,0,True
@Cherrisekiss mungkin dia merasa paling pinter dan berpengalaman dinegeri ini . Jd komennya bgt .,0,True
ENTAH KENAPA GW RASA ADA YG GA BERES SAMA NI MENTRI BARU. TAPI KITA LIHAT AJA.,0,True
"Blm apa sudah sombong, hawatir tong kosong nyaring bunyinya",0,True
"@ahmadhuyer4189 ingat ucapan itu do,a . Ucapkan yg baik baik dan optimis jngn pesimis .",0,True
Seharusnya kamu yg jd menkeu nya . Kamu kn smart,0,True
MUNGKIN DIA SEDANG MENENANGKAN PASAR YG LAGI PSIMIS,0,True
"Bukanya sombong tapi, ini cara agar pasar saham tidak jebol . Perkataan Mentri ekonomi bisa jadi patokan Investor",0,True
Lulusan civil engineering jd bendahara negara?? Tak salah ini !?,0,True
Bacot doang emang gampang,0,True
Saking senangnya di angkat jadi menteri ketinggian ngomongnya Awas lo kalau ga terbukti siap kupingnya panas di kritik yang pedas oleh rakyat,0,True
"Mirip2 rizal ramli, siyap2 .....",0,True
"Agak Laen..tapi saya suka gayanya, semoga bisa benar-benar terbukti..",0,True
Saya suka dg level percaya dirinya,0,True
Yang penting bpk bukan petugas partai dan bekerja utk rakyat,0,True
"Setuju, jgn cuman omon"" pak buktikan 100 hari kerja, ad bukti atw lebih parah dri menteri sebelumnya",1,True
"Terlalu sombong mentri keuangan,jangan takabur pak,buktikan pak dimana waktu yg akan menjawab kemampuan bapak",0,True
Sombong harus.... Asal bisa membuktikan Ndak asal omon.,0,True
Kira2 kebijakan apa yang di lakukan untuk memeras rakyat,0,True
Latar belakang beda dg bidang yg diemban sperti Menkes. Mdh2 BS ngatasi n cari solusi yg terbaik.,0,True
"Dikiranya jdi Mentri keuangan mudah,sry Mulyani sj punya pengalaman di bank dunia..masih ad kekurangnya.",0,True
@dedyprasetyo2020 pejabat baru mmg gitu harus optimis,0,True
Mari kita berdoa dan berharap agar pernyataan mahluk istimewa ini dapat terwujud dan negara konoha terbebas dari gejolak ekonomi,1,True
"Semangat pak Menteri baru...saya sangat mendukung...beri kesempatan yg lain, bu Srimulyani sudah terlalu lama...",0,True
anda menilainya sombong sy menilainya optimis,0,True
"Hrs optimis dong ,kalau nggak berhasil masyarakat hrs demo lagi",0,True
Blm apa apa udh d cela aja. Apa yg sombong sih....serba salah ya..... doain aja....,0,True
kliatannya salah tempat kalau tau cara memperbaiki ekonomi negara seharusnya jadi menko perekonomian saja.,0,True
"Yg baju putih keliatannya ""mentri"" sesungguhnya.",0,True
Nampaknya bpk.Menteri terlalu over sehingga kesannya sombong ... Mudah2an bpk menteri bisa kerja melebihi ibu.srimulyani,0,True
"Kalau mnrutku bukan sombong yah, saat ini aja beliau udah kerja. Karena market itu juga btuh namanya stimulus kepercayaan biar bisa jalan lebih baik. Gimana hasilnya nanti kita lihat aja. Beliau orang LPS yah ? (Lembaga penjamin simpanan) shrusnya relate ama perbankan dan keuangan jdi mgkin cukup diapresiasilah, walaupun tantangannya gk gmpang.",0,True
"Udah diganti kasih kesempatan untuk membuktikan, optimis boleh pesimis boleh tapi jangan berlebihan",0,True
Orang munafiq yg bikin begitu salah begini salah.,0,True
Menteri nya juga baru dilantik belom juga kerja udah jumawa,0,True
"Yg penting ngomong dulu masalah kinerja belakangan,",0,True
Jos mantap harus yakin karna allah bersama orang yg jujur tegas semangat,0,True
Org sombong tdk disukai Allaah.,0,True
"Semoga Menkeu yg baru bisa membuktikan omongannya, maaf kesan saya kok sombong",0,True
"Aloe,pak Mentri anyar anda pakai otak dan hati,,, sederhana dulu ,jgn sombong diliatin Ama publik,,, yg penting kerja dulu dan buktikan biar publik beri penilaian ok,,,",0,True
Itu bukan sombong..tapi optimis(berpengharapan besar).aduuuuhhh payah,0,True
Jadi warg jgn saling mencari sisi lemah bro...kita hrua bahu membahu...jgn hara gara dasinya gak merah ...mulai brfikir sn sni,0,True
Termul juga kayanya....,0,True
angop....,0,True
Pura pura baik ujung ujungnya korup... Negeri Konoha gak lepas dari budaya korupsi...,0,True
Iya ini kayaknya sok banget..,0,True
"Ciri2 omong menyombongkan diri,tandanya tda mampu",1,True
Dia gk sombong bru aj brp jm nongol udh bilg kyk gtu kmu aj jdi mntri,0,True
@Cherrisekiss optimis berlebihan jatuhnya toxic positivity,0,True
"Harus oftimis,,,kerjasama masyarakat dan pemerintah hrus selalu akur.jgn sling memojokan,,,kaya dgn smberdaya alam hrs d klola dgn baik agr rakyat jg ikut makmur",0,True
@Miswanto-r3t sesuai omongan wowo 2030 indonesia bubar wkwkw,0,True
"Yg kan wartawan wawancara ,ya di jawab dong sama bapak nya masa bilang pesimis ,optimis dong dan doakan saja yg baik2",1,True
"Yaa intinya do'akan sajalah mudah2an mentri yg baru lebih baik kinerjanya, rakyat sejahtera",0,True
Sebagai ekonom dia harus begitu.. itu namanya dia mencoba meyakinkan pasar.. Kalo dia biaranya pesimis makin ancur dong pasar IHSG,0,True
Optimis dulu boleh dong gays yg penting kerja jujur Bismillah aja ekonomi membaik.,0,True
Yang pakai peci2 semuanya penipu ulung,0,True
Model bnyk cakap kayaknya ini orang,0,True
@ImranbujangLusi kerjasama pemerintah borosin duit pajak rakyat di peras haetanya buat bayar pajak gitu ya? Wkwkwk,0,True
"Dia bicara kyk gtu untuk membangun optimisme...dan spy pasar gak terlalu negatif at pergantian Menkeu. Pergantian Menkeu sngt sensitif. Isu mundur SM setelah demo itu gak bagus thdp pasar, reaksinya pasti negatif...itu mkny SM diminta menahan diri dan hari ini dianggap tepat Krn politik dan keamanan udah dianggap kondusif.",0,True
Belum apa apa sudah sesumbar!!! Kita tunggu lah hasil kerja nya !!!,0,True
Plesiden omon-omon...memilih menteri omon-omon juga. Biar setara !,1,True
Jangan lah muluk2 rendah hatilah,0,True
masa diwawancara pesimis ya bakal dibuly lagi,0,True
Bukan sombong tapi optimis akan ekonomi Indonesia,0,True
Klo ngak ngerti jangan komentar... Sok pintar,0,True
